# GARAGE RAMP CONSTRUCTION MEASUREMENTS
# Ramp Length: 12.0m, Vertical Drop: 2.8m
# Cubic Spline Profile: y = ax³ + bx² where a=0.003240741, b=-0.058333333
#
Distance_m,Distance_cm,Depth_m,Depth_cm,Depth_mm,Slope_degrees,Formwork_Height_cm
9.900,990.0,-2.5728,257.28,2572.8,11.43,257.28
10.000,1000.0,-2.5926,259.26,2592.6,11.00,259.26
10.100,1010.0,-2.6116,261.16,2611.6,10.57,261.16
10.200,1020.0,-2.6299,262.99,2629.9,10.12,262.99
10.300,1030.0,-2.6473,264.73,2647.3,9.66,264.73
10.400,1040.0,-2.6639,266.39,2663.9,9.19,266.39
10.500,1050.0,-2.6797,267.97,2679.7,8.70,267.97
10.600,1060.0,-2.6946,269.46,2694.6,8.21,269.46
10.700,1070.0,-2.7085,270.85,2708.5,7.70,270.85
10.800,1080.0,-2.7216,272.16,2721.6,7.18,272.16
10.900,1090.0,-2.7337,273.37,2733.7,6.65,273.37
11.000,1100.0,-2.7449,274.49,2744.9,6.10,274.49
11.100,1110.0,-2.7551,275.51,2755.1,5.55,275.51
11.200,1120.0,-2.7643,276.43,2764.3,4.98,276.43
11.300,1130.0,-2.7725,277.25,2772.5,4.40,277.25
11.400,1140.0,-2.7797,277.97,2779.7,3.80,277.97
11.500,1150.0,-2.7858,278.58,2785.8,3.20,278.58
11.600,1160.0,-2.7909,279.09,2790.9,2.58,279.09
11.700,1170.0,-2.7948,279.48,2794.8,1.95,279.48
11.800,1180.0,-2.7977,279.77,2797.7,1.31,279.77
11.900,1190.0,-2.7994,279.94,2799.4,0.66,279.94
12.000,1200.0,-2.8000,280.00,2800.0,0.33,280.00
