Arc_Distance_m,Angle_deg,X_m,Y_m,Depth_m,Depth_cm,Slope_deg,Inner_X_m,Inner_Y_m,Outer_X_m,Outer_Y_m
4.925,31.35,7.6859,4.6826,-0.7826,-78.26,15.10,6.1914,3.7721,9.1804,5.5931
5.010,31.89,7.6414,4.7549,-0.8056,-80.56,15.21,6.1556,3.8303,9.1272,5.6794
5.094,32.43,7.5962,4.8267,-0.8288,-82.88,15.32,6.1192,3.8882,9.0733,5.7653
5.179,32.97,7.5503,4.8982,-0.8521,-85.21,15.42,6.0822,3.9458,9.0185,5.8506
5.264,33.51,7.5038,4.9692,-0.8756,-87.56,15.52,6.0447,4.0030,8.9629,5.9354
5.349,34.05,7.4566,5.0398,-0.8993,-89.93,15.62,6.0067,4.0598,8.9065,6.0197
5.434,34.59,7.4087,5.1099,-0.9231,-92.31,15.71,5.9681,4.1163,8.8493,6.1035
5.519,35.14,7.3602,5.1796,-0.9470,-94.70,15.79,5.9290,4.1724,8.7913,6.1867
5.604,35.68,7.3110,5.2488,-0.9711,-97.11,15.87,5.8894,4.2282,8.7326,6.2694
5.689,36.22,7.2611,5.3175,-0.9953,-99.53,15.95,5.8493,4.2835,8.6730,6.3515
5.774,36.76,7.2106,5.3858,-1.0196,-101.96,16.02,5.8086,4.3385,8.6127,6.4330
5.859,37.30,7.1595,5.4536,-1.0441,-104.41,16.09,5.7674,4.3931,8.5516,6.5140
5.944,37.84,7.1078,5.5209,-1.0686,-106.86,16.15,5.7257,4.4474,8.4898,6.5944
6.028,38.38,7.0554,5.5877,-1.0932,-109.32,16.21,5.6835,4.5012,8.4272,6.6742
6.113,38.92,7.0023,5.6540,-1.1179,-111.79,16.26,5.6408,4.5546,8.3639,6.7534
6.198,39.46,6.9487,5.7198,-1.1427,-114.27,16.31,5.5975,4.6076,8.2998,6.8320
6.283,40.00,6.8944,5.7851,-1.1676,-116.76,16.35,5.5538,4.6602,8.2350,6.9100
6.368,40.54,6.8395,5.8499,-1.1926,-119.26,16.39,5.5096,4.7124,8.1694,6.9873
6.453,41.08,6.7840,5.9141,-1.2176,-121.76,16.43,5.4649,4.7642,8.1031,7.0641
6.538,41.62,6.7279,5.9779,-1.2426,-124.26,16.46,5.4197,4.8155,8.0361,7.1402
6.623,42.16,6.6712,6.0411,-1.2677,-126.77,16.48,5.3740,4.8664,7.9684,7.2157
6.708,42.70,6.6139,6.1037,-1.2929,-129.29,16.51,5.3279,4.9169,7.9000,7.2906
6.793,43.24,6.5561,6.1659,-1.3181,-131.81,16.52,5.2813,4.9670,7.8309,7.3648
6.878,43.78,6.4976,6.2274,-1.3433,-134.33,16.53,5.2342,5.0166,7.7610,7.4383
6.962,44.32,6.4386,6.2885,-1.3685,-136.85,16.54,5.1866,5.0657,7.6905,7.5112
7.047,44.86,6.3790,6.3489,-1.3937,-139.37,16.55,5.1386,5.1144,7.6193,7.5834
7.132,45.41,6.3188,6.4088,-1.4189,-141.89,16.54,5.0901,5.1627,7.5474,7.6550
7.217,45.95,6.2580,6.4682,-1.4441,-144.41,16.54,5.0412,5.2105,7.4749,7.7259
7.302,46.49,6.1967,6.5269,-1.4693,-146.93,16.53,4.9918,5.2578,7.4017,7.7960
7.387,47.03,6.1349,6.5851,-1.4945,-149.45,16.51,4.9420,5.3046,7.3278,7.8655
7.472,47.57,6.0725,6.6427,-1.5197,-151.97,16.50,4.8917,5.3510,7.2532,7.9343
7.557,48.11,6.0095,6.6997,-1.5448,-154.48,16.47,4.8410,5.3969,7.1781,8.0024
7.642,48.65,5.9461,6.7561,-1.5699,-156.99,16.44,4.7899,5.4424,7.1023,8.0697
7.727,49.19,5.8821,6.8118,-1.5949,-159.49,16.41,4.7383,5.4873,7.0258,8.1364
7.812,49.73,5.8175,6.8670,-1.6199,-161.99,16.37,4.6864,5.5318,6.9487,8.2023
7.896,50.27,5.7525,6.9216,-1.6448,-164.48,16.33,4.6340,5.5757,6.8710,8.2675
7.981,50.81,5.6869,6.9756,-1.6697,-166.97,16.28,4.5812,5.6192,6.7927,8.3319
8.066,51.35,5.6209,7.0289,-1.6944,-169.44,16.23,4.5279,5.6622,6.7138,8.3956
8.151,51.89,5.5543,7.0816,-1.7191,-171.91,16.18,4.4743,5.7046,6.6343,8.4586
8.236,52.43,5.4873,7.1337,-1.7437,-174.37,16.12,4.4203,5.7466,6.5542,8.5208
8.321,52.97,5.4197,7.1852,-1.7682,-176.82,16.05,4.3659,5.7880,6.4736,8.5823
8.406,53.51,5.3517,7.2360,-1.7926,-179.26,15.98,4.3111,5.8290,6.3923,8.6430
8.491,54.05,5.2832,7.2861,-1.8168,-181.68,15.91,4.2559,5.8694,6.3105,8.7029
8.576,54.59,5.2142,7.3357,-1.8410,-184.10,15.83,4.2003,5.9093,6.2281,8.7620
8.661,55.14,5.1448,7.3845,-1.8650,-186.50,15.75,4.1444,5.9486,6.1452,8.8204
8.746,55.68,5.0749,7.4327,-1.8889,-188.89,15.66,4.0881,5.9875,6.0617,8.8780
8.830,56.22,5.0045,7.4803,-1.9126,-191.26,15.57,4.0314,6.0258,5.9776,8.9348
8.915,56.76,4.9338,7.5272,-1.9362,-193.62,15.47,3.9744,6.0635,5.8931,8.9908
9.000,57.30,4.8625,7.5734,-1.9596,-195.96,15.37,3.9170,6.1008,5.8080,9.0460
9.085,57.84,4.7909,7.6189,-1.9828,-198.28,15.26,3.8593,6.1375,5.7224,9.1004
9.170,58.38,4.7188,7.6638,-2.0059,-200.59,15.15,3.8012,6.1736,5.6363,9.1539
9.255,58.92,4.6463,7.7079,-2.0288,-202.88,15.04,3.7428,6.2092,5.5497,9.2067
9.340,59.46,4.5733,7.7514,-2.0516,-205.16,14.92,3.6841,6.2442,5.4626,9.2587
9.425,60.00,4.5000,7.7942,-2.0741,-207.41,14.79,3.6250,6.2787,5.3750,9.3098
9.510,60.54,4.4263,7.8363,-2.0964,-209.64,14.66,3.5656,6.3126,5.2869,9.3601
